Geneid	Chr	Start	End	Strand	Length	logFC.StageLate	logFC.StageMiddle	logCPM	F	PValue	FDR
2994	YIL068C	NC_001141.2	233057	235474	-	2418	-13.827916795449	-13.9494794706773	6.08152251031339	3286.34712245588	3.06952314876514e-17	2.59223735026723e-16
1854	YFL052W	NC_001138.5	28232	29629	+	1398	-20.6746352253772	-14.3815680271326	4.55892132864286	1108.00797800329	3.0706129137594e-17	2.59223735026723e-16
3828	YKR089C	NC_001143.9	605633	608365	-	2733	-12.7693615871906	-13.6184255373229	7.00233605563793	3285.09707074189	3.07172053922521e-17	2.59223735026723e-16
4213	YLR266C	NC_001144.5	675619	677724	-	2106	-16.2327982706034	-14.8503320323763	4.93347629130686	3295.56986431118	3.07372231521334e-17	2.59223735026723e-16
537	YCL075W	NC_001135.5	2126	2566	+	441	-21.4855487577985	-18.7148301747666	2.74774258866535	1314.38438257123	3.0755358393001e-17	2.59223735026723e-16
2522	YGR241C	NC_001139.9	974875	976581	-	1707	-12.9397899874431	-13.0744846313832	6.67974984862148	3281.89363097193	3.09164209277884e-17	2.59293396013231e-16
1768	YER134C	NC_001137.3	437267	437803	-	537	-16.2826959556197	-15.8359124757936	4.41054487050694	3294.07319693273	3.10511602542568e-17	2.59293396013231e-16
6300	YPR091C	NC_001148.4	716156	718468	-	2313	-13.3072337276345	-13.6100486992773	6.4512764099943	3279.53325905956	3.10523725009758e-17	2.59293396013231e-16
5431	YOL086W-A	NC_001147.6	159173	159445	+	273	-13.6674555613988	-13.9796986391167	5.88363834975611	3280.03467232639	3.10718810443527e-17	2.59293396013231e-16
6419	YPR199C	NC_001148.4	938148	939032	-	885	-15.0371334434288	-14.7934846908138	5.57481976149264	3281.49265235925	3.10837284219399e-17	2.59293396013231e-16
2989	YIL073C	NC_001141.2;NC_001141.2	222937;225900	225809;225954	-;-	2928	-15.14715582055	-15.2616287033748	5.20472229853534	3281.76794881761	3.11414195527671e-17	2.59293396013231e-16
2979	YIL084C	NC_001141.2	202276	203259	-	984	-14.7559368292944	-15.2163267733538	5.13227275267844	3278.57653366741	3.12851475383257e-17	2.59293396013231e-16
167	YBL046W	NC_001134.8	132424	133749	+	1326	-15.0789002492717	-15.2791715774887	5.16167996730328	3278.46743891407	3.13243786236079e-17	2.59293396013231e-16
4476	YML079W	NC_001145.3	110247	110852	+	606	-14.3104540276061	-14.9094924145312	5.22272230458108	3275.76510720467	3.14213862551862e-17	2.59293396013231e-16
1314	YDR334W	NC_001136.10	1135932	1140476	+	4545	-12.3234096859039	-13.4304506959958	7.21000823805807	3271.28273427017	3.15014838411826e-17	2.59293396013231e-16
3345	YJR005W	NC_001142.9	445923	448025	+	2103	-13.6579600239605	-13.7143324088769	6.33459617139267	3271.56438348093	3.15151498411015e-17	2.59293396013231e-16
2407	YGR141W	NC_001139.9	770569	771972	+	1404	-15.0003085817654	-14.621770305024	5.58583768226715	3273.0247209614	3.15588598106934e-17	2.59293396013231e-16
3957	YLR043C	NC_001144.5	231702	232013	-	312	-11.2960670155722	-12.1107982614215	8.05058498696812	3269.4584917352	3.15875411560085e-17	2.59293396013231e-16
2992	YIL070C	NC_001141.2	230272	231072	-	801	-12.6793781370213	-12.3493971820711	7.20778317993353	3269.7341954625	3.15911030082958e-17	2.59293396013231e-16
4000	YLR088W	NC_001144.5	316107	317951	+	1845	-15.6563399591561	-14.2516722743822	5.28196577234498	3274.01196113402	3.16376014136444e-17	2.59293396013231e-16
1658	YER040W	NC_001137.3	229795	231987	+	2193	-14.9190687892798	-14.1617096444893	5.90766623352196	3270.38042431795	3.16695904685223e-17	2.59293396013231e-16
1454	YDR475C	NC_001136.10	1407464	1410094	-	2631	-13.7161408414695	-13.903573382794	6.66412647389305	3268.18980748854	3.17080397843353e-17	2.59293396013231e-16
5200	YNL056W	NC_001146.8	517249	517842	+	594	-15.1941271847641	-14.8640962627045	5.03910583505164	3271.49078618224	3.172782600511e-17	2.59293396013231e-16
3982	YLR069C	NC_001144.5	271630	273915	-	2286	-12.6786184174803	-12.5712574777394	7.12470705489463	3265.4698551612	3.18405438109313e-17	2.59293396013231e-16
6386	YPR165W	NC_001148.4	875368	875997	+	630	-11.2491226748814	-11.0652974457631	8.66380414494531	3264.48780099191	3.18707102965577e-17	2.59293396013231e-16
5532	YOR008C	NC_001147.6	341278	342414	-	1137	-13.5223530998356	-12.745925308338	7.02488804433484	3263.86212145554	3.19375354375748e-17	2.59293396013231e-16
1168	YDR197W	NC_001136.10	851228	852397	+	1170	-13.6266725675457	-14.3852782826815	5.88032295261874	3264.95497237552	3.1940226028605e-17	2.59293396013231e-16
1642	YER026C	NC_001137.3	207644	208474	-	831	-12.0418270233423	-12.3030539111382	7.69655652471237	3263.13986379926	3.19550906948567e-17	2.59293396013231e-16
4747	YMR161W	NC_001145.3	577718	578392	+	675	-15.7098499422301	-14.3609155300396	5.19077565748473	3268.04404709883	3.20114198317326e-17	2.59293396013231e-16
5401	YOL112W	NC_001147.6	106710	108188	+	1479	-13.6287284664585	-13.7160143129085	6.20260790548433	3261.81192692609	3.20982758859091e-17	2.59293396013231e-16
2310	YGR048W	NC_001139.9	589826	590911	+	1086	-12.8056700590123	-13.7646692108822	6.49520478452754	3261.1266703579	3.21301842510984e-17	2.59293396013231e-16
3733	YKL005C	NC_001143.9	433093	434877	-	1785	-11.4074968326925	-12.3355567599621	8.1419016251143	3259.38819093658	3.21763655327939e-17	2.59293396013231e-16
4143	YLR199C	NC_001144.5;NC_001144.5	547853;548764	548677;548769	-;-	831	-14.8009053385181	-14.3104338877382	5.42801572312776	3262.06783253574	3.21838103183339e-17	2.59293396013231e-16
2484	YGR205W	NC_001139.9	909213	910085	+	873	-13.3707119783474	-14.2971485889958	6.13025020160829	3260.40742264789	3.21949307973104e-17	2.59293396013231e-16
774	YDL194W	NC_001136.10	111580	114234	+	2655	-13.4254153152779	-13.8733068564438	6.42305120423128	3257.32664640948	3.2352621197357e-17	2.59293396013231e-16
4275	YLR328W	NC_001144.5	784913	786118	+	1206	-14.4967930269898	-15.2141233423267	4.91930733103195	3261.69044780877	3.23719830667388e-17	2.59293396013231e-16
4406	YLR452C	NC_001144.5	1039270	1041366	-	2097	-15.9538510600234	-15.5739666054065	4.62046460327008	3265.05148939911	3.24303966164059e-17	2.59293396013231e-16
6395	YPR173C	NC_001148.4	886524	887837	-	1314	-13.0207979393653	-12.941868500012	6.89682917640812	3255.01031144843	3.24665694522742e-17	2.59293396013231e-16
2542	YGR262C	NC_001139.9	1016974	1017759	-	786	-15.8676524830135	-15.1448063448957	4.75716546826243	3262.13267413334	3.24949288664483e-17	2.59293396013231e-16
1226	YDR254W	NC_001136.10	965113	966489	+	1377	-12.8608783655053	-14.079552422276	6.57761675405788	3254.12127720471	3.25409635028689e-17	2.59293396013231e-16
1258	YDR282C	NC_001136.10	1023511	1024755	-	1245	-16.8163324546584	-15.5291459202707	4.30992585711648	3280.94129335276	3.26823235177489e-17	2.59293396013231e-16
622	YCR015C	NC_001135.5	141217	142170	-	954	-16.9155258076876	-15.6651743543584	4.18930994325684	3285.5692404276	3.27540482834386e-17	2.59293396013231e-16
1361	YDR377W	NC_001136.10	1228611	1228916	+	306	-11.1670502844935	-10.9278269012566	8.72076706140059	3248.67983010042	3.2816183097751e-17	2.59293396013231e-16
6292	YPR081C	NC_001148.4	702114	703970	-	1857	-15.1074623214374	-14.5873761600257	5.38168581998775	3251.65718378918	3.2851393385317e-17	2.59293396013231e-16
3904	YLL007C	NC_001144.5	134302	136299	-	1998	-14.8102607360246	-14.4154826590271	5.41604273614218	3250.95183018176	3.28555986698492e-17	2.59293396013231e-16
879	YDL084W	NC_001136.10	305237	306577	+	1341	-12.4271503571299	-12.1419373942521	7.67185740579677	3248.1976933794	3.2857510051823e-17	2.59293396013231e-16
3233	YJL101C	NC_001142.9	234320	236356	-	2037	-11.3937105526819	-12.678413372177	7.76510160287328	3247.19598675501	3.29226161249837e-17	2.59293396013231e-16
403	YBR175W	NC_001134.8	582408	583355	+	948	-15.9738977373405	-15.1002529731661	4.53340285058165	3255.59826967211	3.30129453748159e-17	2.59293396013231e-16
4969	YNL292W	NC_001146.8	82806	84017	+	1212	-15.3634928926103	-15.0009900391071	4.89551238640092	3248.06539618195	3.31863092304528e-17	2.59293396013231e-16
3819	YKR080W	NC_001143.9	590395	591357	+	963	-13.717919677924	-12.974934491029	6.43782849244141	3243.47792034496	3.31973264549316e-17	2.59293396013231e-16
6128	YPL084W	NC_001148.4	394038	396572	+	2535	-14.4340136771053	-14.3003326859594	5.99956257575964	3243.04365104233	3.32720831502165e-17	2.59293396013231e-16
3425	YJR084W	NC_001142.9	583733	585004	+	1272	-14.9430987631122	-14.7273927283077	5.17162906080875	3242.5296375375	3.34213173328683e-17	2.59293396013231e-16
2812	YHR160C	NC_001140.6	419221	420072	-	852	-15.1883035857955	-15.6919455964994	5.07756030780366	3244.10403766588	3.34759451849257e-17	2.59293396013231e-16
6027	YPL183W-A	NC_001148.4	199095	199376	+	282	-13.7063736718591	-13.5699856943775	6.12855894418257	3238.45972227973	3.35248306298932e-17	2.59293396013231e-16
1065	YDR098C	NC_001136.10	644178	644930	-	753	-14.0396818201511	-13.979195035996	5.69521577615095	3238.96206024674	3.35548147749707e-17	2.59293396013231e-16
6296	YPR085C	NC_001148.4	708497	709828	-	1332	-15.170367984049	-14.8754712392249	5.11436866990769	3238.41025494465	3.37181735046072e-17	2.59293396013231e-16
3044	YIL016W	NC_001141.2	321454	321933	+	480	-14.1276238823005	-14.0027532240179	5.69323233528479	3235.97641031731	3.37290752457342e-17	2.59293396013231e-16
3269	YJL065C	NC_001142.9	315054	315557	-	504	-15.2232951275237	-15.6387023079327	4.38740792846819	3243.5842520584	3.3757905306753e-17	2.59293396013231e-16
4610	YMR036C	NC_001145.3	341856	343520	-	1665	-14.3224584747885	-14.6358316338573	5.49509418240468	3234.51294519287	3.38511105211472e-17	2.59293396013231e-16
2743	YHR098C	NC_001140.6	299145	301934	-	2790	-13.5651097411734	-13.6161327240926	6.38971614489111	3231.60878625888	3.39295736227104e-17	2.59293396013231e-16
3791	YKR054C	NC_001143.9	535647	547925	-	12279	-12.0320433552186	-12.1328399682898	8.16322359389649	3230.19287083275	3.39681567983033e-17	2.59293396013231e-16
3528	YKL205W	NC_001143.9	50051	53353	+	3303	-14.8846973136372	-13.7430273192675	5.76536369293946	3232.38983531828	3.39828828694078e-17	2.59293396013231e-16
5038	YNL224C	NC_001146.8	224796	227099	-	2304	-14.6156274691169	-14.1024701809745	5.68333691535428	3231.85554083174	3.39961566971492e-17	2.59293396013231e-16
3169	YJL161W	NC_001142.9	117245	117787	+	543	-13.5310294046921	-16.3195004740799	5.40697345846659	3239.2009654348	3.40171878404414e-17	2.59293396013231e-16
135	YBL080C	NC_001134.8	73070	74695	-	1626	-14.8877958298115	-15.1306314430728	4.92945941916518	3233.91818239108	3.40222403432713e-17	2.59293396013231e-16
4801	YMR208W	NC_001145.3	684467	685798	+	1332	-15.3988364623242	-14.3233988200941	5.45995019512653	3230.35965069428	3.42161167650834e-17	2.59293396013231e-16
4146	YLR203C	NC_001144.5	550650	551960	-	1311	-12.0683781233578	-12.537594354453	7.44751816144238	3225.87963289706	3.42552282053979e-17	2.59293396013231e-16
5008	YNL257C	NC_001146.8	160631	164320	-	3690	-13.8153334188859	-13.6375213348276	6.36834593925015	3226.59438592044	3.42581992666218e-17	2.59293396013231e-16
2789	YHR140W	NC_001140.6	380572	381291	+	720	-13.6878468350515	-15.5416210347315	6.04929646526763	3228.38634096212	3.42895990789797e-17	2.59293396013231e-16
5275	YNR011C	NC_001146.8	644320	646950	-	2631	-14.7653068315833	-14.7521429981089	5.44304868052231	3227.42968227236	3.43314985981856e-17	2.59293396013231e-16
772	YDL197C	NC_001136.10	104917	106494	-	1578	-13.9967882096999	-15.3128490959758	5.39610590791758	3227.72322342746	3.43440107168979e-17	2.59293396013231e-16
945	YDL012C	NC_001136.10;NC_001136.10	431108;431473	431386;431517	-;-	324	-14.4700551791703	-15.4043505792812	4.88593119798514	3230.10275783722	3.43449758204775e-17	2.59293396013231e-16
5391	YOL122C	NC_001147.6	89692	91419	-	1728	-13.8438731854343	-13.6592078580789	6.33472611494066	3223.06522418239	3.44901155656451e-17	2.59293396013231e-16
5507	YOL016C	NC_001147.6	294777	296120	-	1344	-12.224268457762	-12.699345569328	7.33738857746057	3219.56667240273	3.46691021419243e-17	2.59293396013231e-16
3691	YKL043W	NC_001143.9	356748	357848	+	1101	-11.4635948142524	-13.0236133203014	8.04851074472195	3218.2021891186	3.4742405692976e-17	2.59293396013231e-16
3729	YKL007W	NC_001143.9	429302	430108	+	807	-13.3502666525981	-13.7604194483762	6.30775780468397	3219.13098814314	3.4745393202732e-17	2.59293396013231e-16
1388	YDR403W	NC_001136.10	1274602	1276212	+	1611	-11.9811696245794	-16.1172504551727	6.50724095131031	3227.37730870314	3.47994752820402e-17	2.59293396013231e-16
2505	YGR224W	NC_001139.9	942806	944647	+	1842	-16.6162227890163	-16.8148458469462	3.93371526528115	3256.09024823681	3.48059640958711e-17	2.59293396013231e-16
4863	YMR265C	NC_001145.3	796540	797925	-	1386	-14.9307261466096	-15.1315167058626	5.11948147121516	3221.04779216597	3.48117701029467e-17	2.59293396013231e-16
3426	YJR085C	NC_001142.9	585120	585437	-	318	-11.2981000732459	-12.1438915828694	8.02044711110946	3217.00344000278	3.48194844714521e-17	2.59293396013231e-16
2303	YGR041W	NC_001139.9	577487	579130	+	1644	-14.6130611670923	-14.2857563605633	5.46139207367904	3219.0343383941	3.48473711739399e-17	2.59293396013231e-16
5071	YNL189W	NC_001146.8	284260	285888	+	1629	-13.2536098364189	-12.8616450492771	6.91810736265944	3216.50928035551	3.48786414362935e-17	2.59293396013231e-16
5242	YNL023C	NC_001146.8	588263	591160	-	2898	-14.4972260592374	-13.8660941021524	6.29217830798806	3217.52028657787	3.48812210959662e-17	2.59293396013231e-16
1407	YDR423C	NC_001136.10	1318046	1319275	-	1230	-14.3947941411267	-14.9587877682539	5.35012290074369	3218.56111739584	3.49052926257332e-17	2.59293396013231e-16
3686	YKL048C	NC_001143.9	347214	349136	-	1923	-14.8019740984678	-13.5292062507203	6.17022219015428	3217.06508480438	3.49316797991046e-17	2.59293396013231e-16
320	YBR088C	NC_001134.8	424990	425766	-	777	-13.0994292305682	-13.8745531582034	6.12895728602004	3216.41210178241	3.49767300536234e-17	2.59293396013231e-16
1510	YDR530C	NC_001136.10	1496791	1497768	-	978	-13.2407436190298	-13.067476578066	6.9234744701027	3214.86003159382	3.49967418985955e-17	2.59293396013231e-16
5256	YNL008C	NC_001146.8	616211	618241	-	2031	-14.192579728668	-14.1596824318783	5.97251579161381	3215.55568599732	3.50061156577549e-17	2.59293396013231e-16
5436	YOL082W	NC_001147.6	168727	169974	+	1248	-12.8570106271569	-12.9313741570097	7.41468221044146	3213.85601359995	3.50389562536347e-17	2.59293396013231e-16
722	YDL248W	NC_001136.10	1802	2953	+	1152	-14.5534219031407	-14.7017326710738	5.2884071590701	3215.52194853735	3.51073899033036e-17	2.59293396013231e-16
1362	YDR378C	NC_001136.10	1229349	1229609	-	261	-13.9502710239426	-13.7684468141986	6.02631247073737	3213.73351446578	3.5120050910594e-17	2.59293396013231e-16
3404	YJR061W	NC_001142.9	550511	553318	+	2808	-13.1731470654292	-12.1955441033633	7.59728797197229	3212.4999195925	3.51278687085892e-17	2.59293396013231e-16
5529	YOR006C	NC_001147.6	337680	338621	-	942	-14.2452963078626	-14.2557937872268	6.09842509785792	3213.34091626232	3.51516092736747e-17	2.59293396013231e-16
964	YDR005C	NC_001136.10;NC_001136.10	456836;458098	458017;458103	-;-	1188	-14.3880598127999	-13.786640122832	6.41554146345435	3212.45773748095	3.52049767883463e-17	2.59293396013231e-16
859	YDL105W	NC_001136.10	272389	273597	+	1209	-14.7649316586538	-14.5920765349765	5.26266627661875	3214.15183765279	3.52054218431656e-17	2.59293396013231e-16
6206	YPL005W	NC_001148.4	548486	550306	+	1821	-13.9531145730439	-14.5507824971933	5.90705749030312	3211.62209539221	3.52851092123723e-17	2.59293396013231e-16
4264	YLR316C	NC_001144.5;NC_001144.5;NC_001144.5	765266;766130;766250	766073;766181;766358	-;-;-	969	-15.8590224448549	-14.9815299656124	4.85209330037076	3216.9490938694	3.53134891911879e-17	2.59293396013231e-16
5292	YNR029C	NC_001146.8	677199	678488	-	1290	-14.5891193250581	-14.6747445542082	5.3421723376161	3211.68092741467	3.53510058323775e-17	2.59293396013231e-16
2021	YGL227W	NC_001139.9	69671	72547	+	2877	-13.3310059612106	-13.4143248355825	6.91438834523872	3209.31046589178	3.53607986114506e-17	2.59293396013231e-16
379	YBR151W	NC_001134.8	545028	545978	+	951	-12.3096916587607	-12.7476545720392	7.48615846024938	3208.61345180414	3.53765502398313e-17	2.59293396013231e-16
1227	YDR255C	NC_001136.10	966557	967822	-	1266	-12.5194311657025	-13.6616796500985	6.87607602838792	3208.47918814492	3.54178801091366e-17	2.59293396013231e-16
6261	YPR047W	NC_001148.4	657529	658938	+	1410	-13.6785141924901	-13.9310038983902	5.98401931745888	3208.52886504233	3.54684544131254e-17	2.59293396013231e-16
194	YBL021C	NC_001134.8	181660	182094	-	435	-14.60058385697	-14.1210662821194	5.36662858256459	3209.35850017709	3.55447056038446e-17	2.59293396013231e-16
5160	YNL097C	NC_001146.8	441366	442358	-	993	-13.6002195063449	-13.9828012373811	6.05640847640686	3206.92475872602	3.55655201865373e-17	2.59293396013231e-16
156	YBL058W	NC_001134.8	111437	112708	+	1272	-11.8960792947247	-12.9851550387395	7.43470058187904	3205.81521314067	3.55709717828641e-17	2.59293396013231e-16
5666	YOR141C	NC_001147.6	589942	592587	-	2646	-12.9693071756696	-13.1295291283401	6.85796010691749	3205.39313072465	3.56204269766979e-17	2.59293396013231e-16
4936	YNL329C	NC_001146.8	19541	22633	-	3093	-14.1516850442926	-13.5297803201557	6.46763085908281	3205.13904677464	3.56704425143715e-17	2.59293396013231e-16
1086	YDR116C	NC_001136.10	682724	683581	-	858	-12.9329013639975	-13.2384453884236	6.62938067175138	3204.83363803265	3.5672838273497e-17	2.59293396013231e-16
6382	YPR161C	NC_001148.4	864449	866422	-	1974	-13.82168754567	-14.5419618505713	5.81157608898769	3205.61163086846	3.56903046251649e-17	2.59293396013231e-16
2912	YIL146C	NC_001141.2	74184	75773	-	1590	-13.9670258639011	-13.9336445663653	6.54338312747706	3204.77847515977	3.56962986357669e-17	2.59293396013231e-16
2127	YGL121C	NC_001139.9	280777	281157	-	381	-11.8564254021997	-12.0183004156809	7.76782063639208	3203.0594391019	3.5750082456124e-17	2.59293396013231e-16
3156	YJL174W	NC_001142.9	95092	95922	+	831	-11.8948910834377	-12.5180082368344	7.655603230826	3202.2085002854	3.58004514684999e-17	2.59293396013231e-16
1415	YDR434W	NC_001136.10	1331237	1332841	+	1605	-14.920446291815	-13.8023545289394	5.77253655582307	3203.78458403802	3.58503515433152e-17	2.59293396013231e-16
1245	YDR267C	NC_001136.10	1002510	1003502	-	993	-16.0128237347254	-14.6630596727659	4.79372822336771	3210.40482423214	3.58554502011891e-17	2.59293396013231e-16
671	YCR053W	NC_001135.5	216697	218241	+	1545	-14.0054235924878	-13.8611102252067	6.14692953820324	3202.39325846809	3.58666610256476e-17	2.59293396013231e-16
1376	YDR390C	NC_001136.10	1254937	1256847	-	1911	-13.4523117020529	-13.9788884370842	6.20656050741841	3201.82087092315	3.58986039797086e-17	2.59293396013231e-16
6342	YPR131C	NC_001148.4	793911	794498	-	588	-16.186392681181	-15.2735921628383	4.35307187908478	3212.69211871655	3.59761779498723e-17	2.59519275944703e-16
2271	YGR019W	NC_001139.9	525229	526644	+	1416	-13.4301099131878	-14.7356094512829	6.47839931160421	3199.76235614414	3.60656930232244e-17	2.59830603335698e-16
173	YBL040C	NC_001134.8;NC_001134.8	142112;142847	142749;142868	-;-	660	-13.4060279132947	-13.1524314557313	6.43140254284968	3198.12967369019	3.6142237340896e-17	2.60047805257667e-16
5765	YOR236W	NC_001147.6	780906	781541	+	636	-14.4537874000123	-14.0124272393864	5.6828293858484	3195.48145400395	3.63942321566522e-17	2.61497508115711e-16
4216	YLR270W	NC_001144.5	681186	682238	+	1053	-10.8123745630408	-12.7907635552156	8.25811797459747	3192.46457061357	3.64595364902557e-17	2.61497508115711e-16
5047	YNL216W	NC_001146.8	241689	244172	+	2484	-13.5553516460955	-14.492834879021	5.86042079012047	3193.8586599672	3.64836844507557e-17	2.61497508115711e-16
6384	YPR163C	NC_001148.4	868645	869955	-	1311	-12.7992885581153	-12.7068722098385	7.30013062835815	3189.89998533862	3.66498774332021e-17	2.61648240673292e-16
5886	YOR357C	NC_001147.6	1009224	1009712	-	489	-14.9700417002493	-14.5939306772938	5.0725135240061	3193.68515557979	3.66604269382387e-17	2.61648240673292e-16
4156	YLR213C	NC_001144.5	566654	567922	-	1269	-17.0564016259032	-17.1067170820282	3.3674736695557	3264.87106230607	3.66681460869656e-17	2.61648240673292e-16
3537	YKL194C	NC_001143.9	77258	78646	-	1389	-14.6062876317911	-14.6393151218927	5.31483588736637	3191.94848351678	3.66914392808577e-17	2.61648240673292e-16
387	YBR159W	NC_001134.8	558685	559728	+	1044	-13.5429087365124	-12.4735285737304	7.01517342521561	3187.90082772329	3.68114264875813e-17	2.62170324603422e-16
5823	YOR294W	NC_001147.6	868340	868951	+	612	-14.3780246661689	-14.0485284611576	5.63124088322149	3188.57950627044	3.68722351602252e-17	2.62270149838911e-16
4672	YMR093W	NC_001145.3	454015	455556	+	1542	-15.9908592882714	-15.082061849019	4.41030776025093	3195.02794832811	3.70872439678629e-17	2.62568475047202e-16
967	YDR009W	NC_001136.10	463434	464996	+	1563	-15.8538057574844	-15.5192063073639	4.2781355243148	3194.46230908239	3.71042314930879e-17	2.62568475047202e-16
5899	YOR372C	NC_001147.6	1034807	1036471	-	1665	-13.9757007867336	-14.6271216495656	5.5260628059206	3185.26294402511	3.71269436104099e-17	2.62568475047202e-16
3670	YKL064W	NC_001143.9	317764	320673	+	2910	-11.2641009729823	-12.3124878979346	8.31742250885338	3182.28344011675	3.71664962169705e-17	2.62568475047202e-16
6116	YPL096W	NC_001148.4	366927	368018	+	1092	-14.0773022538339	-14.2859062031459	5.93806972557352	3183.71762336449	3.71740791307922e-17	2.62568475047202e-16
5560	YOR033C	NC_001147.6	392416	394524	-	2109	-12.7988743556979	-13.9211775642858	6.6674990638371	3182.3299107075	3.72147603418003e-17	2.62568475047202e-16
3146	YJL186W	NC_001142.9	80155	81915	+	1761	-13.9609630635822	-13.3716803512173	6.37100476015677	3182.24250336271	3.72420941413962e-17	2.62568475047202e-16
5614	YOR086C	NC_001147.6	483219	486779	-	3561	-10.7267730239389	-11.2381834024017	9.02535583242413	3179.65440926878	3.73471016648888e-17	2.62696439359648e-16
1789	YER149C	NC_001137.3	466208	467470	-	1263	-15.4690554897573	-15.3555140530368	4.59843233055938	3186.39460572517	3.73799036633737e-17	2.62696439359648e-16
5422	YOL095C	NC_001147.6	139227	141347	-	2121	-16.157455851212	-15.7176325132764	4.2390135172668	3190.78489674573	3.75314065101677e-17	2.62696439359648e-16
5907	YOR380W	NC_001147.6	1051290	1052930	+	1641	-15.3989656934242	-15.6310039080098	4.97016031590121	3183.61135142976	3.75358686840281e-17	2.62696439359648e-16
4349	YLR396C	NC_001144.5	910235	912310	-	2076	-14.8321807100867	-13.5379378849207	6.02497288492138	3178.01805739847	3.76102167993793e-17	2.62696439359648e-16
5235	YNL027W	NC_001146.8	579580	581616	+	2037	-13.733875555999	-14.0413031389256	6.14856539375985	3175.60546938631	3.77246521830076e-17	2.62696439359648e-16
3462	YJR118C	NC_001142.9	643490	644101	-	612	-13.9548447464977	-14.1670823234289	5.71354736119278	3176.14451602011	3.77405474994536e-17	2.62696439359648e-16
5116	YNL141W	NC_001146.8	359596	360639	+	1044	-13.6742703448788	-14.634224087063	7.43856035167108	3174.57100296194	3.78024092615677e-17	2.62696439359648e-16
3207	YJL125C	NC_001142.9	185528	186679	-	1152	-15.7899535925606	-15.1440616784719	4.56423293599892	3181.2009748292	3.78444550873473e-17	2.62696439359648e-16
489	YBR255C-A	NC_001134.8;NC_001134.8	726618;727012	726917;727074	-;-	363	-13.3779643141776	-13.7747031308676	6.24305968908572	3173.04229320817	3.79000570796933e-17	2.62696439359648e-16
1099	YDR128W	NC_001136.10	709549	712995	+	3447	-14.1940799873399	-13.8653588354585	6.25664015136764	3173.02675213544	3.79111489405723e-17	2.62696439359648e-16
6022	YPL189W	NC_001148.4	189154	190983	+	1830	-14.474733950929	-15.1867441892128	4.93888990703763	3176.91497807852	3.79224017791077e-17	2.62696439359648e-16
2152	YGL097W	NC_001139.9	321782	323230	+	1449	-14.2956890925759	-13.8396116091212	5.93404142406404	3171.95803158858	3.8011915319236e-17	2.62696439359648e-16
5593	YOR066W	NC_001147.6	449436	451325	+	1890	-14.0808952888369	-14.0940484932151	6.08833449671599	3170.68191202966	3.80853768162807e-17	2.62696439359648e-16
4746	YMR160W	NC_001145.3	575066	577516	+	2451	-14.289808741965	-14.1219394227339	6.05953743780784	3170.10395414732	3.81412309423345e-17	2.62696439359648e-16
4381	YLR425W	NC_001144.5	982894	986817	+	3924	-14.2824536628485	-14.2769633025289	6.08893260674472	3169.78416878561	3.81687708666781e-17	2.62696439359648e-16
4526	YML036W	NC_001145.3;NC_001145.3	205642;206204	206097;206293	+;+	546	-14.791326675254	-15.3293651449683	4.74983271943398	3173.73118600475	3.82188053385009e-17	2.62696439359648e-16
4006	YLR094C	NC_001144.5	327730	329238	-	1509	-13.8537651389405	-15.2494279364329	5.23783368362793	3172.501602133	3.82265435414788e-17	2.62696439359648e-16
3497	YJR151C	NC_001142.9	712255	715740	-	3486	-14.9965490555329	-14.7568271700334	5.98770560568889	3170.33626434311	3.82350883146334e-17	2.62696439359648e-16
5698	YOR172W	NC_001147.6	654210	656570	+	2361	-14.2829856827183	-13.6911003202943	6.11261481895485	3168.03255940982	3.82840002788238e-17	2.62696439359648e-16
2113	YGL136C	NC_001139.9	252897	253859	-	963	-14.7420641293842	-14.4937503805899	5.64702383402352	3168.79474842844	3.83018154903364e-17	2.62696439359648e-16
2998	YIL064W	NC_001141.2	241943	242716	+	774	-15.053087567878	-15.191325577781	4.73725257069308	3170.63682545094	3.84215628961721e-17	2.62696439359648e-16
6237	YPR023C	NC_001148.4	608826	610031	-	1206	-12.8993894564747	-12.9727099733929	7.02414807186373	3164.94647636254	3.84421558670263e-17	2.62696439359648e-16
3667	YKL067W	NC_001143.9	314812	315273	+	462	-11.5802297246007	-11.7434595437877	8.21831239126899	3163.97806857479	3.84763558326727e-17	2.62696439359648e-16
344	YBR114W	NC_001134.8	467248	469620	+	2373	-12.1587471446543	-13.6634971161748	6.98473690248152	3164.27189647298	3.85048013185897e-17	2.62696439359648e-16
4607	YMR033W	NC_001145.3;NC_001145.3	337788;337904	337817;339277	+;+	1404	-13.7531541306783	-13.5951235178216	6.09993173748054	3164.78752196539	3.85142025578245e-17	2.62696439359648e-16
1358	YDR374W-A	NC_001136.10	1224757	1225026	+	270	-15.781700810779	-16.2009009547152	4.20068370460806	3176.17760307911	3.85867148543477e-17	2.62696439359648e-16
5897	YOR370C	NC_001147.6	1029183	1030994	-	1812	-13.1175946620642	-12.9926414034733	6.9472606321748	3162.62823090465	3.86133665307705e-17	2.62696439359648e-16
3440	YJR098C	NC_001142.9	613186	615156	-	1971	-14.6351166613941	-14.5263838437462	5.57183532694596	3164.37120613986	3.86194230209367e-17	2.62696439359648e-16
